,MARKETVAL,,RENT & MARKETVAL
DIVISION,1,,1
OMB13CBSA,1,,1
TENURE,0.858869497,,0.860196973
CONDO,1,,1
HOA,1,,1
OWNLOT,0.818702787,,0.513427816
MGRONSITE,0,,0.262134679
VACANCY,0.141130503,,0.139803027
VACMONTHS,0.121307632,,0.12377292
MONLSTOCC,0.141130503,,0.139803027
SUITYRRND,0.032664756,,0.020081672
VACPRIRES,0.070382912,,0.04711346
VACREC,0.070382912,,0.04711346
VACINVEST,0.070382912,,0.04711346
VACSELL,0.070382912,,0.04711346
VACINHER,0.070382912,,0.04711346
BLD,1,,1
YRBUILT,1,,1
GUTREHB,0.80520969,,0.495027624
LOTSIZE,0.888043761,,0.662182721
GARAGE,1,,1
PORCH,1,,1
NOSTEP,1,,1
WINBARS,0.921489971,,0.689598847
ENTRYSYS,0.078510029,,0.310401153
MHWIDE,0.061812972,,0.048154376
MHANCHOR,0.061812972,,0.048154376
FOUNDTYPE,0.921489971,,0.689598847
UNITSIZE,1,,1
STORIES,1,,1
UNITFLOORS,1,,1
TOTROOMS,1,,1
BEDROOMS,1,,1
BATHROOMS,1,,1
KITCHENS,1,,1
DINING,1,,1
LAUNDY,1,,1
FINROOMS,1,,1
UFINROOMS,1,,1
KITEXCLU,0.074602761,,0.302458163
BATHEXCLU,0.001432665,,0.001649452
HEATTYPE,1,,1
HEATFUEL,1,,1
SUPP1HEAT,1,,1
SUPP2HEAT,1,,1
FIREPLACE,1,,1
SOLAR,1,,1
ACPRIMARY,1,,1
ACSECNDRY,1,,1
SEWTYPE,1,,1
SEWUSERS,0.177676478,,0.119993594
WATSOURCE,1,,1
HOTWATER,1,,1
COOKTYPE,1,,1
COOKFUEL,1,,1
FRIDGE,1,,1
DISHWASH,1,,1
KITCHSINK,1,,1
WASHER,1,,1
NOWIRE,1,,1
PLUGS,0.996587653,,0.997597886
FNDCRUMB,0.921489971,,0.689598847
ROOFHOLE,0.921489971,,0.689598847
ROOFSHIN,0.921489971,,0.689598847
ROOFSAG,0.921489971,,0.689598847
WALLSIDE,0.921489971,,0.689598847
WALLSLOPE,0.921489971,,0.689598847
WINBOARD,0.921489971,,0.689598847
WINBROKE,0.921489971,,0.689598847
FLOORHOLE,1,,1
WALLCRACK,1,,1
PAINTPEEL,1,,1
LEAKO,0.858869497,,0.860196973
LEAKOROOF,0.079578015,,0.074769797
LEAKOBASE,0.079578015,,0.074769797
LEAKOWALL,0.079578015,,0.074769797
LEAKOOTH,0.079578015,,0.074769797
LEAKI,0.858869497,,0.860196973
LEAKIPLUM,0.055431102,,0.065017215
LEAKIPIPE,0.055431102,,0.065017215
LEAKIWATH,0.055431102,,0.065017215
LEAKIOTH,0.055431102,,0.065017215
LEAKIDK,0.055431102,,0.065017215
MOLDKITCH,0.858869497,,0.860196973
MOLDBATH,0.858869497,,0.860196973
MOLDBEDRM,0.858869497,,0.860196973
MOLDLROOM,0.858869497,,0.860196973
MOLDBASEM,0.858869497,,0.860196973
MOLDOTHER,0.858869497,,0.860196973
UPKEEP,1,,1
HSHLDTYPE,0.858869497,,0.860196973
NUMPEOPLE,0.858869497,,0.860196973
HHSEX,0.858869497,,0.860196973
HHAGE,0.858869497,,0.860196973
HHMAR,0.858869497,,0.860196973
HHRACE,0.858869497,,0.860196973
HINCP,0.858869497,,0.860196973
FINCP,0.858869497,,0.860196973
MORTAMT,0.508283407,,0.312482985
RENT,0,,0.385218993
UTILAMT,0.88958062,,0.932116262
PROTAXAMT,0.858869497,,0.528016655
INSURAMT,0.858869497,,0.860196973
HOAAMT,0.88958062,,0.557050204
LOTAMT,0.023782235,,0.023588758
TOTHCAMT,0.858869497,,0.860196973
ELECAMT,0.862568377,,0.915509648
GASAMT,0.862568377,,0.915509648
OILAMT,0.862568377,,0.915509648
OTHERAMT,0.862568377,,0.915509648
TRASHAMT,0.88958062,,0.932116262
WATERAMT,0.88958062,,0.932116262
DWNPAYPCT,0.760067726,,0.467275202
MARKETVAL,1,,0.614781007
TOTBALAMT,0.508283407,,0.312482985
REMODJOBS,0.858869497,,0.528016655
REMODAMT,0.858869497,,0.528016655
MAINTAMT,0.858869497,,0.528016655
NORC,0.204506382,,0.197085435
NEARABAND,0.858869497,,0.860196973
NEARTRASH,0.858869497,,0.860196973
RATINGHS,0.858869497,,0.860196973
RATINGNH,0.858478771,,0.859700536
NHQSCHOOL,0.858869497,,0.860196973
NHQPCRIME,0.858869497,,0.860196973
NHQSCRIME,0.858869497,,0.860196973
NHQPUBTRN,0.858869497,,0.860196973
NHQRISK,0.858869497,,0.860196973
SEARCHSTOP,0.101458713,,0.201841621
NRATE,0.101458713,,0.201841621
HRATE,0.101458713,,0.201841621
FSSTATUS,0.42672571,,0.428569141
HALIFT,0.432143787,,0.431627832
HAGETHOME,0.432143787,,0.431627832
HABEDENTRY,0.246235999,,0.202450156
HABEDADD,0.133081532,,0.081815998
HABATHENTRY,0.246235999,,0.202450156
HABATHADD,0.103334202,,0.063527905